iter	Logloss
0	0.680401355
1	0.6699443876
2	0.6584086507
3	0.6502986931
4	0.6351708651
5	0.624247105
6	0.6123718826
7	0.6052823229
8	0.5960619948
9	0.5852914998
10	0.575388273
11	0.5679998126
12	0.5598856114
13	0.5541132737
14	0.5468970841
15	0.5412897489
16	0.535284376
17	0.5282205937
18	0.5240102507
19	0.5180063675
20	0.5107538818
21	0.5050553551
22	0.4983524568
23	0.4922104319
24	0.4890088846
25	0.484988509
26	0.4807923412
27	0.4748166733
28	0.4711904079
29	0.468274534
30	0.4641313657
31	0.4608637271
32	0.4558488665
33	0.4514858452
34	0.4486392679
35	0.4447565825
36	0.4418325827
37	0.4381096181
38	0.4348159763
39	0.4308683733
40	0.4275355914
41	0.4245243275
42	0.4217321943
43	0.4199693524
44	0.4170473389
45	0.4141980981
46	0.411006618
47	0.4083572312
48	0.4044120661
49	0.4009568978
50	0.3993146365
51	0.3973373137
52	0.3947885989
53	0.3914537855
54	0.3881169405
55	0.3840617586
56	0.3799148433
57	0.3764483438
58	0.3745998404
59	0.3733835161
60	0.3708880942
61	0.3693110665
62	0.364702031
63	0.3628514962
64	0.3596531767
65	0.3579793143
66	0.3558259512
67	0.3545875061
68	0.3525423766
69	0.3504823042
70	0.3479023947
71	0.3450372631
72	0.3430952884
73	0.3410714218
74	0.3391833043
75	0.3361560142
76	0.3347865828
77	0.3334037886
78	0.3320902459
79	0.330119108
80	0.3286335427
81	0.3262203964
82	0.3247179697
83	0.3235363162
84	0.322454206
85	0.3197461316
86	0.3166637654
87	0.3138377739
88	0.312848458
89	0.3105899988
90	0.3088644461
91	0.3079309512
92	0.3058120557
93	0.3039806847
94	0.3032164359
95	0.3017181851
96	0.3001780854
97	0.2986369023
98	0.2971069602
99	0.295792492
100	0.2950137067
101	0.2932218144
102	0.2923491966
103	0.291352003
104	0.2896437632
105	0.2877652163
106	0.2865067949
107	0.2848549178
108	0.2832909142
109	0.2817841536
110	0.2798164918
111	0.2786282924
112	0.2772686122
113	0.275200143
114	0.2740711504
115	0.2728101331
116	0.2711712125
117	0.2695122026
118	0.2680952568
119	0.2662089676
120	0.26353193
121	0.2619498912
122	0.2605855837
123	0.259324431
124	0.258070366
125	0.256998323
126	0.2563666632
127	0.2543040176
128	0.2525915568
129	0.251405276
130	0.2506609585
131	0.2487595234
132	0.2461760475
133	0.2453407415
134	0.2438298502
135	0.2426974266
136	0.2419424325
137	0.2410345118
138	0.2385558836
139	0.23690667
140	0.2359302653
141	0.2350323216
142	0.2339224476
143	0.2329664707
144	0.2315344918
145	0.2303969218
146	0.2294227066
147	0.2284667298
148	0.2270944091
149	0.2258349494
150	0.225131826
151	0.224182034
152	0.2230843941
153	0.2219798021
154	0.2197708436
155	0.2185243854
156	0.2166815703
